year,donor_name,flow_name,usd_disbursement,usd_disbursement_deflated
2018,Austria,ODA Grants,15.751497,15.734507
2018,Denmark,ODA Grants,15.443098,15.930542
2018,Japan,ODA Grants,71.4208500000001,60.998266
2018,Japan,ODA Loans,0,0
2018,Dutch Postcode Lottery,Private Development Finance,3.06562,3.116727
2018,People's Postcode Lottery,Private Development Finance,0.86888,0.904993
2018,Bernard van Leer Foundation,Private Development Finance,6.575637,6.685257
2018,Conrad N. Hilton Foundation,Private Development Finance,3.055,3.523359
2018,John D. and Catherine T. MacArthur Foundation,Private Development Finance,3.532002,4.073484
2018,William and Flora Hewlett Foundation,Private Development Finance,0.69,0.795783
2018,Ford Foundation,Private Development Finance,4.368367,5.038078
2018,Caribbean Development Bank,ODA Grants,0,0
2018,Sweden,ODA Grants,16.59741,16.228221
2018,Ireland,ODA Grants,23.396254,22.971284
2018,Norwegian Postcode Lottery,Private Development Finance,0.048685,0.059903
2018,United Kingdom,ODA Grants,233.632075,243.342339
2018,Türkiye,ODA Grants,6.25491,6.039945
2018,European Bank for Reconstruction and Development,Other Official Flows (non Export Credit),67.10138,69.84006
2018,Australia,ODA Grants,19.915658,21.909336
2018,UNICEF,ODA Grants,64.085752,66.7013440000001
2018,Food and Agriculture Organisation,ODA Grants,14.1633,14.741363
2018,Netherlands,ODA Grants,4.824479,4.904904
2018,Swedish Postcode Lottery,Private Development Finance,2.095416,2.048807
2018,Children's Investment Fund Foundation,Private Development Finance,0.187396,0.195184
2018,Wellcome Trust,Private Development Finance,0.079365,0.082664
2018,Norway,ODA Grants,8.098801,9.964868
2018,Finland,ODA Grants,8.407881,8.32082
2018,Italy,ODA Grants,26.176236,24.940444
2018,Bill & Melinda Gates Foundation,Private Development Finance,0.507058,0.584795
2018,International Labour Organisation,ODA Grants,14.767853,15.370591
2018,UNDP,ODA Grants,8.653489,9.006673
2018,Charity Projects Ltd (Comic Relief),Private Development Finance,2.359013,2.457061
2018,Rockefeller Foundation,Private Development Finance,1.182796,1.364127
2018,Oak Foundation,Private Development Finance,0.433806,0.457426
2018,Slovenia,ODA Grants,0.000679,0.000685
2018,Poland,ODA Grants,1.250127,1.266026
2018,Arab Fund (AFESD),ODA Grants,0.457106,0.475762
2018,Arab Fund (AFESD),ODA Loans,5.074528,5.28164
2018,OPEC Fund for International Development,ODA Grants,0.085,0.088469
2018,Hungary,ODA Grants,0.334518,0.329659
2018,Saudi Arabia,ODA Loans,0,0
2018,Saudi Arabia,ODA Grants,1,1.040814
2018,Canada,ODA Grants,7.573462,8.93399700000001
2018,United Arab Emirates,ODA Grants,13.95363,14.523136
2018,Korea,ODA Grants,12.878273,11.499505
2018,Asian Development Bank,ODA Loans,37.404342,38.930965
2018,Luxembourg,ODA Grants,4.530922,4.72091
2018,EU Institutions,ODA Grants,174.128396,171.9927
2018,OSCE,ODA Grants,2.930816,3.050434
2018,Croatia,ODA Grants,0.035906,0.037372
