year,recipient_name,flow_name,usd_disbursement,usd_disbursement_deflated
2018,Afghanistan,ODA Grants,3834.151542,4030.510742
2018,Colombia,Other Official Flows (non Export Credit),5247.234441,5459.642044
2018,Peru,Other Official Flows (non Export Credit),2115.805191,2199.702193
2018,Timor-Leste,Other Official Flows (non Export Credit),27.10261,28.628213
2018,Viet Nam,Other Official Flows (non Export Credit),2087.417829,1923.533975
2018,"Asia, regional",Other Official Flows (non Export Credit),810.361935,830.760229
2018,Papua New Guinea,Other Official Flows (non Export Credit),277.156641,292.789963
2018,Tonga,Other Official Flows (non Export Credit),2.340588,2.574896
2018,"Oceania, regional",Other Official Flows (non Export Credit),7.256574,7.983003
2018,Cameroon,Other Official Flows (non Export Credit),597.924164,622.513208
2018,Brazil,Other Official Flows (non Export Credit),3840.376242,3924.270066
2018,"America, regional",Other Official Flows (non Export Credit),370.896846,375.726477
2018,Iraq,Other Official Flows (non Export Credit),171.912892,178.567935
2018,Armenia,Other Official Flows (non Export Credit),244.704573,253.87191
2018,Ukraine,Other Official Flows (non Export Credit),1031.466518,1063.114918
2018,Georgia,Other Official Flows (non Export Credit),443.433681,459.50971
2018,China (People's Republic of),Other Official Flows (non Export Credit),6901.594858,6717.60333
2018,Afghanistan,Other Official Flows (non Export Credit),3.729529,4.057746
2018,Myanmar,Other Official Flows (non Export Credit),217.83563,213.694854
2018,India,Other Official Flows (non Export Credit),5514.083131,5623.491175
2018,Pakistan,Other Official Flows (non Export Credit),1021.158509,1060.733755
2018,Cambodia,Other Official Flows (non Export Credit),108.562796,112.378695
2018,Indonesia,Other Official Flows (non Export Credit),4012.843312,4127.527588
2018,Mongolia,Other Official Flows (non Export Credit),370.596972,386.812455
2018,Lao People's Democratic Republic,Other Official Flows (non Export Credit),30.614316,31.783521
2018,Malaysia,Other Official Flows (non Export Credit),152.977884,137.677693
2018,Tunisia,Other Official Flows (non Export Credit),1184.259685,1232.427641
2018,Kenya,Other Official Flows (non Export Credit),263.853128,274.046628
2018,Zimbabwe,Other Official Flows (non Export Credit),32.003851,33.218458
2018,Fiji,Other Official Flows (non Export Credit),39.201561,40.992029
2018,South Africa,Other Official Flows (non Export Credit),209.008654,217.113992
2018,"South of Sahara, regional",Other Official Flows (non Export Credit),85.583909,93.814357
2018,"Caribbean & Central America, regional",Other Official Flows (non Export Credit),66.493908,69.869832
2018,"South America, regional",Other Official Flows (non Export Credit),27.1267,31.563744
2018,"North of Sahara, regional",Other Official Flows (non Export Credit),3.896811,4.102109
2018,Algeria,Other Official Flows (non Export Credit),0.187147,0.184485
2018,Türkiye,Other Official Flows (non Export Credit),2419.203488,2475.305306
2018,"Europe, regional",Other Official Flows (non Export Credit),53.959185,54.389122
2018,"Bilateral, unspecified",Other Official Flows (non Export Credit),2097.280108,2167.53127
2018,"Far East Asia, regional",Other Official Flows (non Export Credit),0.348224,0.37192
2018,"Africa, regional",Other Official Flows (non Export Credit),1723.783233,1776.611517
2018,Honduras,Other Official Flows (non Export Credit),30.870527,32.442081
2018,Panama,Other Official Flows (non Export Credit),1247.15875,1285.382157
2018,Sierra Leone,Other Official Flows (non Export Credit),21.904389,22.809916
2018,Botswana,Other Official Flows (non Export Credit),36.551471,38.043286
2018,"Africa, regional",ODA Grants,2740.11409900001,2835.662234
2018,Kosovo,ODA Grants,345.960263999999,354.309261
2018,Democratic Republic of the Congo,ODA Grants,2460.190059,2588.968865
2018,"Bilateral, unspecified",ODA Grants,42973.2202889997,44911.3368589998
2018,Cambodia,ODA Grants,584.150417,591.988073
2018,"South of Sahara, regional",Private Development Finance,501.862454,570.212680000002
2018,Uganda,Private Development Finance,121.463678,136.335939
2018,Tanzania,Other Official Flows (non Export Credit),76.908689,82.673287
2018,Mozambique,Private Development Finance,32.800543,36.534772
2018,Kenya,Private Development Finance,167.746911,187.679906
2018,Kenya,ODA Grants,1651.119705,1790.789991
2018,Philippines,Other Official Flows (non Export Credit),1880.218508,1935.563532
2018,Thailand,Other Official Flows (non Export Credit),335.453581,343.625192
2018,Zambia,Other Official Flows (non Export Credit),59.312796,61.799204
2018,El Salvador,Other Official Flows (non Export Credit),456.113596,474.140364
2018,Bangladesh,Other Official Flows (non Export Credit),856.811006,897.606725
2018,"South & Central Asia, regional",Other Official Flows (non Export Credit),5.1605,5.045712
2018,Ghana,Private Development Finance,66.031709,72.975017
2018,Bosnia and Herzegovina,Other Official Flows (non Export Credit),287.517585,297.804574
2018,Sri Lanka,Other Official Flows (non Export Credit),412.706665,429.61459
2018,Nauru,Other Official Flows (non Export Credit),0.373923,0.411355
2018,Nigeria,Other Official Flows (non Export Credit),659.664303,681.989532
2018,Ghana,Other Official Flows (non Export Credit),110.900802,114.347162
2018,Egypt,Other Official Flows (non Export Credit),4682.86841,4814.686738
2018,Serbia,Other Official Flows (non Export Credit),664.865941,690.391607
2018,Liberia,Other Official Flows (non Export Credit),5,5.766544
2018,Senegal,Other Official Flows (non Export Credit),465.893551,485.780765
2018,Uganda,Other Official Flows (non Export Credit),632.877902,714.177071
2018,Costa Rica,Other Official Flows (non Export Credit),497.844005,514.284305
2018,Haiti,Other Official Flows (non Export Credit),4.5,5.133642
2018,Jamaica,Other Official Flows (non Export Credit),198.905474,206.583567
2018,Mexico,Other Official Flows (non Export Credit),2708.580045,2778.819158
2018,Solomon Islands,Other Official Flows (non Export Credit),11.894606,12.100755
2018,Samoa,Other Official Flows (non Export Credit),1.389331,1.528411
2018,Albania,Other Official Flows (non Export Credit),501.463222,521.158782
2018,Morocco,Other Official Flows (non Export Credit),1054.667236,1091.917984
2018,Lesotho,Other Official Flows (non Export Credit),0,0
2018,Syrian Arab Republic,Other Official Flows (non Export Credit),0,0
2018,Jordan,Other Official Flows (non Export Credit),979.901953,1008.559619
2018,Maldives,Other Official Flows (non Export Credit),85.465872,88.956575
2018,"South Asia, regional",Other Official Flows (non Export Credit),5.994861,6.101645
2018,Iran,Other Official Flows (non Export Credit),225.29725,234.424741
2018,Nicaragua,Other Official Flows (non Export Credit),92.566667,101.655903
2018,Mozambique,Other Official Flows (non Export Credit),147.138615,136.215707
2018,Gambia,Other Official Flows (non Export Credit),17.086224,17.739686
2018,Ethiopia,Other Official Flows (non Export Credit),10.428085,10.953909
2018,Bolivia,Other Official Flows (non Export Credit),405.342096,421.884762
2018,Mali,Other Official Flows (non Export Credit),35.916331,37.21437
2018,Argentina,Other Official Flows (non Export Credit),3706.117496,3856.341894
2018,Somalia,Other Official Flows (non Export Credit),5.939985,6.90877
2018,Benin,Other Official Flows (non Export Credit),79.608116,82.855894
2018,Moldova,Other Official Flows (non Export Credit),72.601552,75.564712
2018,Mauritius,Other Official Flows (non Export Credit),188.539628,189.580976
2018,Rwanda,Other Official Flows (non Export Credit),90.586096,94.041321
2018,South Sudan,Other Official Flows (non Export Credit),1.040774,1.280583
2018,Comoros,Other Official Flows (non Export Credit),0,0
2018,Malawi,Other Official Flows (non Export Credit),16.653892,16.996289
2018,Guatemala,Other Official Flows (non Export Credit),298.400077,310.007495
2018,Namibia,Other Official Flows (non Export Credit),265.05052,274.566946
2018,Angola,Other Official Flows (non Export Credit),45.153065,46.685156
2018,Madagascar,Other Official Flows (non Export Credit),15.974146,16.008361
2018,North Macedonia,Other Official Flows (non Export Credit),40.109724,41.746341
2018,Paraguay,Other Official Flows (non Export Credit),387.579444,401.992819
2018,Togo,Other Official Flows (non Export Credit),10.222974,10.127497
2018,Democratic Republic of the Congo,Other Official Flows (non Export Credit),9.070585,9.443822
2018,Kosovo,Other Official Flows (non Export Credit),51.483279,53.557493
2018,Niger,Other Official Flows (non Export Credit),26.063626,25.803195
2018,Gabon,Other Official Flows (non Export Credit),109.250662,112.742531
2018,Côte d'Ivoire,Other Official Flows (non Export Credit),237.713094,245.698806
2018,Kazakhstan,Other Official Flows (non Export Credit),599.607789,622.509946
2018,Burkina Faso,Other Official Flows (non Export Credit),213.593049,222.051861
2018,Mauritania,Other Official Flows (non Export Credit),12.969577,13.46123
2018,Cabo Verde,Other Official Flows (non Export Credit),39.982949,41.611786
2018,Guinea,Other Official Flows (non Export Credit),38.257221,39.833022
2018,Cuba,Other Official Flows (non Export Credit),6.680969,6.890962
2018,Montenegro,Other Official Flows (non Export Credit),82.108301,85.3091360000001
2018,Belarus,Other Official Flows (non Export Credit),334.441873,348.072784
2018,Lebanon,Other Official Flows (non Export Credit),517.125439,529.764471
2018,Libya,Other Official Flows (non Export Credit),0,0
2018,Dominican Republic,Other Official Flows (non Export Credit),468.574494,484.030508
2018,Uzbekistan,Other Official Flows (non Export Credit),1238.661357,1288.920276
2018,Eritrea,Other Official Flows (non Export Credit),0,0
2018,Brazil,ODA Grants,436.233832,459.228318
2018,Marshall Islands,Other Official Flows (non Export Credit),132.569502,118.37642
2018,Ecuador,Other Official Flows (non Export Credit),1532.223972,1590.056489
2018,Iraq,ODA Grants,1903.250814,2006.802059
2018,Tanzania,ODA Grants,1741.551599,1871.810665
2018,Paraguay,ODA Grants,101.579971,102.291703
2018,Cameroon,ODA Grants,615.545218999999,635.547894
2018,Georgia,ODA Grants,383.428398,399.525167
2018,Azerbaijan,Other Official Flows (non Export Credit),1220.247913,1270.051169
2018,Ghana,ODA Grants,845.613318000001,892.111229999999
2018,South Africa,ODA Grants,940.459859000001,1037.239031
2018,Solomon Islands,ODA Grants,197.048218,206.654429
2018,Vanuatu,Other Official Flows (non Export Credit),8.911826,7.957713
2018,West Bank and Gaza Strip,Other Official Flows (non Export Credit),4.436377,4.346173
2018,Nepal,Other Official Flows (non Export Credit),4,4.163256
2018,Bhutan,Other Official Flows (non Export Credit),6.6698,6.942022
2018,Tajikistan,Other Official Flows (non Export Credit),67.314039,70.061396
2018,Kyrgyzstan,Other Official Flows (non Export Credit),36.645814,38.141479
2018,Burundi,Other Official Flows (non Export Credit),0,0
2018,"Middle East, regional",Other Official Flows (non Export Credit),0,0
2018,Wallis and Futuna,Other Official Flows (non Export Credit),4.249917,4.118574
2018,Congo,Other Official Flows (non Export Credit),48.488028,50.46702
2018,Chad,Other Official Flows (non Export Credit),18.538785,19.295166
2018,Cook Islands,Other Official Flows (non Export Credit),2.55815,2.662558
2018,Djibouti,Other Official Flows (non Export Credit),6.458467,6.722063
2018,Central African Republic,Other Official Flows (non Export Credit),0,0
2018,Guinea-Bissau,Other Official Flows (non Export Credit),0,0
2018,Jordan,ODA Grants,2553.94137,2779.448087
2018,Lebanon,ODA Grants,1306.048134,1370.299854
2018,West Bank and Gaza Strip,ODA Grants,2290.462272,2387.01754899999
2018,Syrian Arab Republic,ODA Grants,10007.617231,9946.462199
2018,Albania,ODA Loans,189.941604,188.913801
2018,Moldova,ODA Loans,123.02103,124.286377
2018,Burundi,ODA Loans,10.465969,10.893128
2018,Cameroon,ODA Loans,651.131423,656.40293
2018,Central African Republic,ODA Loans,107.19441,111.569449
2018,Chad,ODA Loans,213.777471,219.116838
2018,Comoros,ODA Loans,17.943545,18.675893
2018,Congo,ODA Loans,51.92705,52.58315
2018,Democratic Republic of the Congo,ODA Loans,207.161479,215.493964
2018,Benin,ODA Loans,208.991928,216.501857
2018,Ethiopia,ODA Loans,1918.450925,1980.175705
2018,Gambia,ODA Loans,79.894522,83.155342
2018,Ghana,ODA Loans,418.492795,430.614681
2018,Guinea,ODA Loans,238.162421,247.05678
2018,Guinea-Bissau,ODA Loans,55.394895,57.655786
2018,Côte d'Ivoire,ODA Loans,446.025188,458.923332
2018,Kenya,ODA Loans,1325.370917,1339.018541
2018,Lesotho,ODA Loans,44.192474,45.996144
2018,Liberia,ODA Loans,108.723897,113.161361
2018,Madagascar,ODA Loans,252.951663,257.476184
2018,Malawi,ODA Loans,237.084246,246.274175
2018,Mali,ODA Loans,405.040071,418.852441
2018,Mauritania,ODA Loans,320.255173,332.988889
2018,Mozambique,ODA Loans,387.271063,384.295494
2018,Bangladesh,ODA Loans,3578.80609,3486.818397
2018,Niger,ODA Loans,256.777126,266.82227
2018,Rwanda,ODA Loans,449.27704,464.227782
2018,Senegal,ODA Loans,459.283899,462.277328
2018,Sierra Leone,ODA Loans,115.35864,118.379807
2018,Djibouti,ODA Loans,73.478394,76.473969
2018,Tanzania,ODA Loans,939.256921,959.545452
2018,Togo,ODA Loans,113.109426,117.725877
2018,Burkina Faso,ODA Loans,303.943863,313.348011
2018,Zambia,ODA Loans,206.671874,213.518155
2018,Haiti,ODA Loans,115.749609,120.473818
2018,Nicaragua,ODA Loans,229.918603,231.442984
2018,Dominica,ODA Loans,3.93639,4.097051
2018,Grenada,ODA Loans,38.01872,39.570414
2018,Yemen,ODA Loans,20.343658,21.173963
2018,Armenia,ODA Loans,127.080655,128.109654
2018,Afghanistan,ODA Loans,29.288464,30.483845
2018,Maldives,ODA Loans,58.753313,61.151274
2018,Nepal,ODA Loans,896.230054,920.683315
2018,Solomon Islands,ODA Loans,5.687394,5.919522
2018,Samoa,ODA Loans,8.178634,8.512437
2018,Kyrgyzstan,ODA Loans,80.87866,83.960023
2018,Saint Lucia,ODA Loans,8.603247,8.954379
2018,Saint Vincent and the Grenadines,ODA Loans,9.2623,9.640329
2018,Sao Tome and Principe,ODA Loans,6.542697,6.80973
2018,"Bilateral, unspecified",ODA Loans,130.356489,126.899303
