year,donor_name,recipient_name,usd_disbursement,usd_disbursement_deflated
2018,Austria,Ghana,0.004556,0.00455
2018,Austria,Ukraine,0.084268,0.084176
2018,Austria,Tanzania,0.030264,0.03023
2018,Austria,Zimbabwe,0.135725,0.135579
2018,Austria,Kenya,0.21286,0.212632
2018,Austria,Serbia,0.106594,0.106479
2018,Austria,Mozambique,0.744129,0.743325
2018,Austria,Belarus,0.032456,0.032421
2018,Austria,Uganda,0.357151,0.356767
2018,Austria,Bosnia and Herzegovina,0.268669,0.268379
2018,Austria,Guatemala,0.020064,0.020042
2018,Austria,Albania,0.211259,0.211031
2018,Austria,India,0.098549,0.098443
2018,Austria,Armenia,0.171466,0.171281
2018,Austria,Bolivia,0.102306,0.102196
2018,Austria,"South of Sahara, regional",0.047209,0.047158
2018,Austria,Bhutan,0.003168,0.003164
2018,Austria,Philippines,0.004721,0.004716
2018,Austria,South Sudan,0.004603,0.004598
2018,Austria,South Africa,0.050957,0.050902
2018,Austria,Brazil,0.10976,0.109642
2018,Austria,North Macedonia,0.00534,0.005335
2018,Austria,Sri Lanka,0.001652,0.001651
2018,Austria,Nepal,0.028906,0.028875
2018,Austria,Kosovo,0.076358,0.076276
2018,Austria,Iraq,0.019719,0.019698
2018,Austria,"Africa, regional",0.00177,0.001768
2018,Austria,Georgia,0.082486,0.082396
2018,Austria,Ethiopia,0.057831,0.057769
2018,Austria,Lesotho,0.141626,0.141474
2018,Austria,"Bilateral, unspecified",0.230091,0.229842
2018,Austria,Moldova,0.455823,0.455331
2018,Austria,Kyrgyzstan,0.035407,0.035368
2018,Austria,Ecuador,0.01015,0.010139
2018,Austria,West Bank and Gaza Strip,1.905775,1.90372
2018,Austria,"Europe, regional",1.508321,1.506694
2018,Austria,Namibia,0.014753,0.014736
2018,Austria,Egypt,0.004603,0.004598
2018,Austria,"Central Asia, regional",0.015815,0.015798
2018,Austria,Burkina Faso,0.162522,0.162347
2018,Austria,Türkiye,7.933963,7.925407
2018,Austria,Sierra Leone,0.000507,0.000507
2018,Austria,Colombia,0.000411,0.00041
2018,Austria,Nigeria,0.009088,0.009078
2018,Austria,Jordan,0.230143,0.229895
2018,Austria,Democratic Republic of the Congo,0.017703,0.017684
2018,Denmark,"Bilateral, unspecified",15.443098,15.930542
2018,Japan,West Bank and Gaza Strip,0.202206,0.172698
2018,Japan,Vanuatu,0.120231,0.102686
2018,Japan,Myanmar,3.259976,2.784242
2018,Japan,China (People's Republic of),0.349582,0.298566
2018,Japan,Malaysia,1.325192,1.131803
2018,Japan,Viet Nam,2.773772,2.36899
2018,Japan,"Asia, regional",0.45154,0.385646
2018,Japan,Nepal,0.378491,0.323257
2018,Japan,Colombia,0.804636,0.687216
2018,Japan,Côte d'Ivoire,0.045998,0.039286
2018,Japan,Tunisia,0.456555,0.38993
2018,Japan,Ethiopia,0.167281,0.142867
2018,Japan,Nigeria,0.076958,0.065726
2018,Japan,Fiji,0.174217,0.148792
2018,Japan,Egypt,0.100827,0.086112
2018,Japan,Pakistan,1.740973,1.486912
2018,Japan,South Sudan,0.059183,0.050546
2018,Japan,Kenya,0.332647,0.284104
2018,Japan,Albania,0.341061,0.291289
2018,Japan,Paraguay,0.370526,0.316455
2018,Japan,Guinea,0.010268,0.008769
2018,Japan,Lebanon,0.013881,0.011855
2018,Japan,Lao People's Democratic Republic,0.711678,0.607821
2018,Japan,Serbia,0.078362,0.066924
2018,Japan,Solomon Islands,0.099495,0.084975
2018,Japan,Cambodia,2.6834,2.291807
2018,Japan,Zambia,0.046279,0.039525
2018,Japan,Peru,0.146579,0.12519
2018,Japan,Algeria,0.004925,0.004207
2018,Japan,Thailand,2.457486,2.098861
2018,Japan,Georgia,0.199166,0.1701
2018,Japan,Sri Lanka,2.148878,1.835289
2018,Japan,Ghana,0.128852,0.110048
2018,Japan,"Bilateral, unspecified",2.57374,2.198152
2018,Japan,Philippines,1.320702,1.12797
2018,Japan,Bhutan,1.32154,1.128685
2018,Japan,Benin,0.112923,0.096444
2018,Japan,Dominica,0.019993,0.017076
2018,Japan,Bangladesh,2.611499,2.230397
2018,Japan,Azerbaijan,0.000724,0.000619
2018,Japan,Indonesia,5.746287,4.907724
2018,Japan,Iraq,1.556713,1.329539
2018,Japan,Tajikistan,0.05413,0.04623
2018,Japan,Malawi,0.139254,0.118933
2018,Japan,Senegal,0.066861,0.057104
2018,Japan,Brazil,0.888002,0.758413
2018,Japan,Morocco,0.103099,0.088054
2018,Japan,Mozambique,0.725576,0.619692
2018,Japan,Mongolia,1.603711,1.369675
2018,Japan,Guatemala,0.070195,0.059951
2018,Japan,Eswatini,0.032073,0.027392
2018,Japan,Ukraine,1.09598,0.936042
2018,Japan,Dominican Republic,0.445372,0.380379
2018,Japan,Honduras,0.096919,0.082775
2018,Japan,El Salvador,0.278131,0.237542
2018,Japan,Botswana,0.108994,0.093087
2018,Japan,Maldives,0.020573,0.017571
2018,Japan,Jordan,0.56132,0.479407
2018,Japan,"Far East Asia, regional",2.158373,1.843399
2018,Japan,Tanzania,0.113902,0.097278
2018,Japan,Mauritius,0.0024,0.002049
2018,Japan,North Macedonia,0.011518,0.009837
2018,Japan,Afghanistan,0.142505,0.121708
2018,Japan,Jamaica,0.432632,0.369498
2018,Japan,South Africa,0.733547,0.626498
2018,Japan,Timor-Leste,2.721179,2.324074
2018,Japan,Papua New Guinea,0.388569,0.331865
2018,Japan,Djibouti,0.248031,0.211836
2018,Japan,Rwanda,0.643467,0.549565
2018,Japan,Lesotho,0.051269,0.043786
2018,Japan,Kosovo,0.026893,0.022968
2018,Japan,Cuba,0.107559,0.091863
2018,Japan,Marshall Islands,0.002364,0.002018
2018,Japan,Cameroon,0.004962,0.004238
2018,Japan,Palau,0.013465,0.011499
2018,Japan,Sudan,1.973654,1.685637
2018,Japan,Uganda,0.072312,0.061759
2018,Japan,Namibia,0.010015,0.008553
2018,Japan,Venezuela,0.062983,0.053792
2018,Japan,Liberia,0.041054,0.035064
2018,Japan,Bosnia and Herzegovina,0.010993,0.009388
2018,Japan,Saint Lucia,0.046008,0.039293
2018,Japan,Iran,0.417639,0.356691
2018,Japan,Nicaragua,0.112589,0.096159
2018,Japan,Cabo Verde,0.069905,0.059703
2018,Japan,Turkmenistan,0.003278,0.0028
2018,Japan,Türkiye,0.353004,0.30149
2018,Japan,Zimbabwe,0.083395,0.071226
2018,Japan,Kazakhstan,0.05201,0.04442
2018,Japan,Tonga,0.033984,0.029023
2018,Japan,India,8.249007,7.045216
2018,Japan,Samoa,0.057399,0.049022
2018,Japan,Mexico,0.027754,0.023703
2018,Japan,Ecuador,0.430459,0.367641
2018,Japan,Costa Rica,0.369718,0.315764
2018,Japan,Guinea-Bissau,0.010522,0.008986
2018,Japan,Eritrea,0.009109,0.00778
2018,Japan,Belarus,0.084844,0.072463
2018,Japan,Democratic Republic of the Congo,0.022937,0.019589
2018,Japan,Burkina Faso,0.044423,0.037941
2018,Japan,Uzbekistan,0.089,0.076012
2018,Japan,Panama,0.004446,0.003797
2018,Japan,Angola,0.002373,0.002026
2018,Japan,Gambia,0.000561,0.000479
2018,Japan,Kyrgyzstan,0.142986,0.122121
2018,Japan,Bolivia,0.134365,0.114757
2018,Japan,Antigua and Barbuda,0.021868,0.018677
2018,Japan,Suriname,0.001838,0.00157
2018,Japan,Burundi,0.002391,0.002041
2018,Japan,Niger,0.017494,0.014941
2018,Japan,Argentina,0.291361,0.248843
2018,Japan,Madagascar,0.165523,0.141368
2018,Japan,Cook Islands,0.001974,0.001685
2018,Japan,Saint Vincent and the Grenadines,0.016933,0.014462
2018,Japan,Gabon,0.035803,0.030578
2018,Japan,Niue,0.002454,0.002095
2018,Japan,Nauru,0.002047,0.001747
2018,Japan,Mali,0.003839,0.003279
2018,Japan,Guyana,0.002327,0.001988
2018,Japan,"South Asia, regional",0.054266,0.046347
2018,Japan,Haiti,0.001259,0.001075
2018,Japan,Armenia,0.029881,0.02552
2018,Japan,Sao Tome and Principe,0.043365,0.037037
2018,Japan,Micronesia,0.012714,0.010857
2018,Japan,Yemen,0.008964,0.007656
2018,Japan,Montenegro,0.099078,0.08462
2018,Japan,Sierra Leone,0.001675,0.001431
2018,Japan,Syrian Arab Republic,5.903776,5.04223
2018,Japan,Kiribati,0.045465,0.038829
2018,Japan,Mauritania,0.010005,0.008545
2018,Japan,Tuvalu,0.001413,0.001206
2018,Japan,Somalia,0.000951,0.000812
2018,Japan,Tokelau,0.001413,0.001206
2018,Dutch Postcode Lottery,South Africa,0.59011,0.599947
2018,Dutch Postcode Lottery,"Bilateral, unspecified",2.180455,2.216806
2018,Dutch Postcode Lottery,India,0.295055,0.299974
2018,People's Postcode Lottery,Ghana,0.220088,0.229235
2018,People's Postcode Lottery,"Bilateral, unspecified",0.428704,0.446523
2018,People's Postcode Lottery,South Africa,0.220088,0.229235
2018,Bernard van Leer Foundation,Brazil,0.219208,0.222862
