year,channel_name,recipient_name,usd_disbursement,usd_disbursement_deflated
2018,Donor country-based NGO,Ghana,0.140231,0.147698
2018,Private sector in provider country,Ukraine,0.080196,0.080109
2018,Donor country-based NGO,Tanzania,1.156145,1.132693
2018,Donor country-based NGO,Zimbabwe,1.202954,1.333506
2018,Donor country-based NGO,Kenya,4.259989,4.524535
2018,Donor Government,Serbia,0.037115,0.036138
2018,Donor country-based NGO,Mozambique,0.976267,1.070785
2018,Donor country-based NGO,Belarus,0.532556,0.542734
2018,Donor country-based NGO,Uganda,1.762747,1.882293
2018,Donor country-based NGO,Bosnia and Herzegovina,0.33727,0.335308
2018,Donor country-based NGO,Serbia,0.769917,0.773314
2018,Donor country-based NGO,Guatemala,0.673683,0.776253
2018,Donor country-based NGO,Albania,0.907051,0.874075
2018,Donor country-based NGO,India,5.671352,6.232991
2018,Donor country-based NGO,Armenia,0.475027,0.476493
2018,Donor country-based NGO,Bolivia,1.139908,1.21625
2018,Donor country-based NGO,"South of Sahara, regional",1.552467,1.615316
2018,Donor Government,Bhutan,0.008625,0.008037
2018,Donor country-based NGO,Philippines,0.849366,0.787951
2018,Donor country-based NGO,South Sudan,0.302235,0.311208
2018,Donor country-based NGO,South Africa,2.72591,2.849568
2018,Donor country-based NGO,Brazil,0.466511,0.462168
2018,Donor Government,North Macedonia,0.00534,0.005335
2018,Donor country-based NGO,Sri Lanka,1.359536,1.398811
2018,Donor country-based NGO,Ukraine,1.866596,1.860822
2018,"University, college or other teaching institution, research institute or think-tank",India,0.834459,0.911203
2018,Donor country-based NGO,Nepal,2.674633,2.852994
2018,Donor Government,Kosovo,0.072856,0.071531
2018,Donor country-based NGO,Iraq,0.048316,0.047944
2018,International NGO,Mozambique,0.775812,0.776176
2018,Donor country-based NGO,Kosovo,2.769191,2.755558
2018,Donor country-based NGO,"Africa, regional",0.315486,0.327245
2018,Donor country-based NGO,Georgia,0.787514,0.792525
2018,Donor country-based NGO,Ethiopia,0.807804,0.892395
2018,Donor country-based NGO,Lesotho,0.141626,0.141474
2018,Private sector in provider country,Kosovo,0.028585,0.028269
2018,Donor country-based NGO,"Bilateral, unspecified",41.758455,45.254646
2018,Donor Government,Moldova,0.003104,0.003101
2018,Donor country-based NGO,Kyrgyzstan,0.302735,0.304132
2018,Donor country-based NGO,Ecuador,0.331847,0.333804
2018,European Commission - Development Share of Budget,West Bank and Gaza Strip,1.770329,1.76842
2018,Donor country-based NGO,"Europe, regional",0.656185,0.667641
2018,Donor country-based NGO,Namibia,0.014753,0.014736
2018,Donor country-based NGO,Moldova,2.828165,3.055344
2018,Donor country-based NGO,Egypt,0.73491,0.738046
2018,Donor country-based NGO,West Bank and Gaza Strip,17.785609,19.690912
2018,Donor country-based NGO,"Central Asia, regional",0.023191,0.022826
2018,Donor country-based NGO,Burkina Faso,1.393394,1.448623
2018,European Commission - Development Share of Budget,Türkiye,7.933963,7.925407
2018,International Bank for Reconstruction and Development,"Bilateral, unspecified",2.130661,2.204192
2018,Donor country-based NGO,Sierra Leone,0.258215,0.274417
2018,Donor Government,Colombia,0.304504,0.287552
2018,Other,Bolivia,0.269441,0.280364
2018,United Nations Children's Fund,"Europe, regional",0.944176,0.943157
2018,Donor country-based NGO,Nigeria,0.041862,0.043639
2018,Other,Brazil,0.040346,0.041498
2018,Donor country-based NGO,Jordan,11.19122,12.816674
2018,Donor country-based NGO,Democratic Republic of the Congo,3.093009,3.334504
2018,Recipient Government,West Bank and Gaza Strip,60.413459,59.6438
2018,Recipient Government,Vanuatu,0.120231,0.102686
2018,Recipient Government,Myanmar,2.89384,2.488549
2018,Recipient Government,China (People's Republic of),13.334393,13.760771
2018,Recipient Government,Malaysia,1.310738,1.119458
2018,Donor country-based NGO,Viet Nam,6.96186,7.695919
2018,Recipient Government,"Asia, regional",3.197514,3.327939
2018,Recipient Government,Viet Nam,6.544872,6.329593
2018,Recipient Government,Nepal,0.325544,0.305182
2018,Recipient Government,Colombia,0.604243,0.516821
2018,Recipient Government,Côte d'Ivoire,38.347458,39.903984
2018,Recipient Government,Tunisia,131.277899,136.550622
2018,Recipient Government,Ethiopia,143.173705,149.021614
2018,Recipient Government,Nigeria,72.881653,75.842021
2018,Recipient Government,Fiji,0.174217,0.148792
2018,Recipient Government,Egypt,23.925837,24.883517
2018,Recipient Government,Pakistan,46.236544,47.862717
2018,Recipient Government,South Sudan,13.302761,13.834648
2018,Recipient Government,Kenya,0.52589,0.488989
2018,Recipient Government,Albania,0.625085,0.586905
2018,Developing country-based NGO,Paraguay,0.179282,0.161527
2018,Recipient Government,Guinea,4.113859,4.279844
